,AccountSubType,AccountType,AcctNum,Active,Classification,CurrencyRef,CurrentBalance,CurrentBalanceWithSubAccounts,Description,FullyQualifiedName,Id,MetaData,Name,SubAccount,SyncToken,domain,sparse
CreateTime,RentOrLeaseOfBuildings,Expense,,True,Expense,,0,0,,Rent or Lease,107,2023-02-24T03:01:52-08:00,Rent or Lease,False,0,QBO,False
LastUpdatedTime,RentOrLeaseOfBuildings,Expense,,True,Expense,,0,0,,Rent or Lease,107,2023-02-24T03:01:52-08:00,Rent or Lease,False,0,QBO,False
name,RepairMaintenance,Expense,,True,Expense,United States Dollar,0,0,,Repair & Maintenance,108,,Repair & Maintenance,False,0,QBO,False
type,RepairMaintenance,Expense,,True,Expense,,0,0,,Repair & Maintenance,108,,Repair & Maintenance,False,0,QBO,False
value,RepairMaintenance,Expense,,True,Expense,USD,0,0,,Repair & Maintenance,108,,Repair & Maintenance,False,0,QBO,False
CreateTime,RepairMaintenance,Expense,,True,Expense,,0,0,,Repair & Maintenance,108,2023-02-24T03:01:52-08:00,Repair & Maintenance,False,0,QBO,False
LastUpdatedTime,RepairMaintenance,Expense,,True,Expense,,0,0,,Repair & Maintenance,108,2023-02-24T03:01:52-08:00,Repair & Maintenance,False,0,QBO,False
name,RetainedEarnings,Equity,,True,Equity,United States Dollar,0,0,,Retained Earnings,122,,Retained Earnings,False,0,QBO,False
type,RetainedEarnings,Equity,,True,Equity,,0,0,,Retained Earnings,122,,Retained Earnings,False,0,QBO,False
value,RetainedEarnings,Equity,,True,Equity,USD,0,0,,Retained Earnings,122,,Retained Earnings,False,0,QBO,False
CreateTime,RetainedEarnings,Equity,,True,Equity,,0,0,,Retained Earnings,122,2023-02-24T03:01:52-08:00,Retained Earnings,False,0,QBO,False
LastUpdatedTime,RetainedEarnings,Equity,,True,Equity,,0,0,,Retained Earnings,122,2023-02-24T03:01:52-08:00,Retained Earnings,False,0,QBO,False
name,SalesOfProductIncome,Income,,True,Revenue,United States Dollar,0,0,,Sales,96,,Sales,False,0,QBO,False
type,SalesOfProductIncome,Income,,True,Revenue,,0,0,,Sales,96,,Sales,False,0,QBO,False
value,SalesOfProductIncome,Income,,True,Revenue,USD,0,0,,Sales,96,,Sales,False,0,QBO,False
CreateTime,SalesOfProductIncome,Income,,True,Revenue,,0,0,,Sales,96,2023-02-24T03:01:51-08:00,Sales,False,0,QBO,False
LastUpdatedTime,SalesOfProductIncome,Income,,True,Revenue,,0,0,,Sales,96,2023-02-24T03:01:51-08:00,Sales,False,0,QBO,False
name,ServiceFeeIncome,Income,,True,Revenue,United States Dollar,0,0,,Services,121,,Services,False,0,QBO,False
type,ServiceFeeIncome,Income,,True,Revenue,,0,0,,Services,121,,Services,False,0,QBO,False
value,ServiceFeeIncome,Income,,True,Revenue,USD,0,0,,Services,121,,Services,False,0,QBO,False
CreateTime,ServiceFeeIncome,Income,,True,Revenue,,0,0,,Services,121,2023-02-24T03:01:52-08:00,Services,False,0,QBO,False
LastUpdatedTime,ServiceFeeIncome,Income,,True,Revenue,,0,0,,Services,121,2023-02-24T03:01:52-08:00,Services,False,0,QBO,False
name,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,United States Dollar,0,0,,Stationery & Printing,109,,Stationery & Printing,False,0,QBO,False
type,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,,0,0,,Stationery & Printing,109,,Stationery & Printing,False,0,QBO,False
value,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,USD,0,0,,Stationery & Printing,109,,Stationery & Printing,False,0,QBO,False
CreateTime,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,,0,0,,Stationery & Printing,109,2023-02-24T03:01:52-08:00,Stationery & Printing,False,0,QBO,False
LastUpdatedTime,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,,0,0,,Stationery & Printing,109,2023-02-24T03:01:52-08:00,Stationery & Printing,False,0,QBO,False
name,SuppliesMaterials,Expense,,True,Expense,United States Dollar,0,0,,Supplies,110,,Supplies,False,0,QBO,False
type,SuppliesMaterials,Expense,,True,Expense,,0,0,,Supplies,110,,Supplies,False,0,QBO,False
value,SuppliesMaterials,Expense,,True,Expense,USD,0,0,,Supplies,110,,Supplies,False,0,QBO,False
CreateTime,SuppliesMaterials,Expense,,True,Expense,,0,0,,Supplies,110,2023-02-24T03:01:52-08:00,Supplies,False,0,QBO,False
LastUpdatedTime,SuppliesMaterials,Expense,,True,Expense,,0,0,,Supplies,110,2023-02-24T03:01:52-08:00,Supplies,False,0,QBO,False
name,TaxesPaid,Expense,,True,Expense,United States Dollar,0,0,,Taxes & Licenses,111,,Taxes & Licenses,False,0,QBO,False
type,TaxesPaid,Expense,,True,Expense,,0,0,,Taxes & Licenses,111,,Taxes & Licenses,False,0,QBO,False
value,TaxesPaid,Expense,,True,Expense,USD,0,0,,Taxes & Licenses,111,,Taxes & Licenses,False,0,QBO,False
CreateTime,TaxesPaid,Expense,,True,Expense,,0,0,,Taxes & Licenses,111,2023-02-24T03:01:52-08:00,Taxes & Licenses,False,0,QBO,False
LastUpdatedTime,TaxesPaid,Expense,,True,Expense,,0,0,,Taxes & Licenses,111,2023-02-24T03:01:52-08:00,Taxes & Licenses,False,0,QBO,False
name,SuppliesMaterials,Expense,,True,Expense,United States Dollar,0,0,,Tools,119,,Tools,False,0,QBO,False
type,SuppliesMaterials,Expense,,True,Expense,,0,0,,Tools,119,,Tools,False,0,QBO,False
value,SuppliesMaterials,Expense,,True,Expense,USD,0,0,,Tools,119,,Tools,False,0,QBO,False
CreateTime,SuppliesMaterials,Expense,,True,Expense,,0,0,,Tools,119,2023-02-24T03:01:52-08:00,Tools,False,0,QBO,False
LastUpdatedTime,SuppliesMaterials,Expense,,True,Expense,,0,0,,Tools,119,2023-02-24T03:01:52-08:00,Tools,False,0,QBO,False
name,Travel,Expense,,True,Expense,United States Dollar,0,0,,Travel,112,,Travel,False,0,QBO,False
type,Travel,Expense,,True,Expense,,0,0,,Travel,112,,Travel,False,0,QBO,False
value,Travel,Expense,,True,Expense,USD,0,0,,Travel,112,,Travel,False,0,QBO,False
CreateTime,Travel,Expense,,True,Expense,,0,0,,Travel,112,2023-02-24T03:01:52-08:00,Travel,False,0,QBO,False
LastUpdatedTime,Travel,Expense,,True,Expense,,0,0,,Travel,112,2023-02-24T03:01:52-08:00,Travel,False,0,QBO,False
name,TravelMeals,Expense,,True,Expense,United States Dollar,0,0,,Travel Meals,113,,Travel Meals,False,0,QBO,False
type,TravelMeals,Expense,,True,Expense,,0,0,,Travel Meals,113,,Travel Meals,False,0,QBO,False
value,TravelMeals,Expense,,True,Expense,USD,0,0,,Travel Meals,113,,Travel Meals,False,0,QBO,False
CreateTime,TravelMeals,Expense,,True,Expense,,0,0,,Travel Meals,113,2023-02-24T03:01:52-08:00,Travel Meals,False,0,QBO,False
LastUpdatedTime,TravelMeals,Expense,,True,Expense,,0,0,,Travel Meals,113,2023-02-24T03:01:52-08:00,Travel Meals,False,0,QBO,False
name,UndepositedFunds,Other Current Asset,,True,Asset,United States Dollar,0,0,,Undeposited Funds,92,,Undeposited Funds,False,0,QBO,False
type,UndepositedFunds,Other Current Asset,,True,Asset,,0,0,,Undeposited Funds,92,,Undeposited Funds,False,0,QBO,False
value,UndepositedFunds,Other Current Asset,,True,Asset,USD,0,0,,Undeposited Funds,92,,Undeposited Funds,False,0,QBO,False
CreateTime,UndepositedFunds,Other Current Asset,,True,Asset,,0,0,,Undeposited Funds,92,2023-02-24T03:01:51-08:00,Undeposited Funds,False,0,QBO,False
LastUpdatedTime,UndepositedFunds,Other Current Asset,,True,Asset,,0,0,,Undeposited Funds,92,2023-02-24T03:01:51-08:00,Undeposited Funds,False,0,QBO,False
name,Utilities,Expense,,True,Expense,United States Dollar,0,0,,Utilities,114,,Utilities,False,0,QBO,False
type,Utilities,Expense,,True,Expense,,0,0,,Utilities,114,,Utilities,False,0,QBO,False
value,Utilities,Expense,,True,Expense,USD,0,0,,Utilities,114,,Utilities,False,0,QBO,False
CreateTime,Utilities,Expense,,True,Expense,,0,0,,Utilities,114,2023-02-24T03:01:52-08:00,Utilities,False,0,QBO,False
LastUpdatedTime,Utilities,Expense,,True,Expense,,0,0,,Utilities,114,2023-02-24T03:01:52-08:00,Utilities,False,0,QBO,False
